year_sold,mo_sold,year_built,home_age,village,street,address,sqft_lot,sqft_living,sqft_mbr,sqft_garage,home_type,floorplan,floor,bedrooms,bathrooms,sale_price
2020,5,2004,18,Village 1,Hay Wagon Court,101 Hay Wagon Court,7039,1531,156,420,Classic,Alpine,1,2,2,420
2021,7,2004,18,Village 1,Haywagon Court,108 Haywagon Court,8760,1531,156,420,Classic,Alpine,1,2,2,508
2021,10,2004,18,Village 1,Calistoga Lane,234 Calistoga Lane,7318,1549,156,420,Classic,Alpine,1,2,2,600
2020,10,2004,18,Village 1,Wagon Wheel Lane,716 Wagon Wheel Lane,8934,1549,156,420,Classic,Alpine,1,2,2,475
2020,2,2004,18,Village 1,Wagon Wheel Lane,698 Wagon Wheel Lane,4752,1190,168,400,Classic,Calaveras,1,2,2,395
2021,8,2004,18,Village 1,Hay Wagon Court,105 Hay Wagon Court,5955,1673,178,438,Classic,Trinity,1,2,2,590
2020,10,2005,17,Village 1,Wagon Wheel Lane,944 Wagon Wheel Lane,6242,1775,262,438,Classic,Tehama,1,3,2,500
2020,5,2004,18,Village 2,Calistoga Lane,100 Calistoga Lane,7169,1531,156,420,Classic,Alpine,1,2,2,460
2020,8,2004,18,Village 2,Coach Light Lane,153 Coach Light Lane,5811,1531,156,420,Classic,Alpine,1,2,2,465
2021,11,2004,18,Village 2,Wagon Wheel Lane,679 Wagon Wheel Lane,6639,1190,168,400,Classic,Calaveras,1,2,2,490
2019,5,2002,20,Village 2,Monument Court,2465 Monument Court,8354,1595,184,430,Classic,Quail Cove,1,2,2,550
2021,10,2004,18,Village 2,Coach Light Lane,147 Coach Light Lane,5850,1673,178,438,Classic,Trinity,1,2,2,685
2021,8,2004,18,Village 2,Surreytop Lane,208 Surreytop Lane,6023,1795,262,438,Classic,Tehama,1,3,2,570
2021,6,2004,18,Village 2,Wagon Wheel Lane,722 Wagon Wheel Lane,8550,1795,262,438,Classic,Tehama,1,3,2,575
2021,1,2005,17,Village 3,Stags Leap Lane,151 Stags Leap Lane,5484,1349,190,410,Classic,Mariposa,1,1,1,457
2020,7,2005,17,Village 3,Truchard Lane,1355 Truchard Lane,5614,1549,156,420,Classic,Alpine,1,2,2,480
2020,7,2005,17,Village 3,Stags Leap Lane,175 Stags Leap Lane,6163,1531,156,420,Classic,Alpine,1,2,2,443
2021,1,2005,17,Village 3,Stags Leap Lane,235 Stags Leap Lane,6011,1549,156,420,Classic,Alpine,1,2,2,490
2019,12,2005,17,Village 3,Stags Leap Lane,252 Stags Leap Lane,5745,1531,156,420,Classic,Alpine,1,2,2,458
